"","X","Nest_ID","Female_ID","Male_ID","Female_dur_care","Male_dur_care","Hatching_date","Year","Chick","Chick_ID","Chick_surv_age","Hatching_date_ch","Fate","Cap_date","Cap_age","Chick_weight","Left_tarsus_ch","Right_tarsus_ch","Mean_tarsus_ch","Mean_brood_weight","Mean_brood_tarsus","Chick_CI","Mean_brood_CI","Max_chick_CI"
"86",86,"2007_B6","CA132","CA279",6,6,"2007-07-05",2007,1,"CA1365",5.5,"2007-07-05","died","2007-07-05",0,5.7,17.1,17.2,17.15,5.85,17.1666666666667,5.93686081653241,6.09309399591484,6.24932717529727
"87",87,"2007_C1","CA151","CA201",2,20,"2007-05-23",2007,1,"CA1227",12.5,"2007-05-23","died","2007-05-23",0,6.2,17.7,17.8,17.75,5.85,17.1,6.5106210129116,6.1430859557311,6.5106210129116
"88",88,"2007_C102","CA014","802109746",2,25,"2007-05-26",2007,1,"CA1236",26,"2007-05-26","fledged","2007-05-26",0,5.4,16,16.1,16.05,5.7,16.85,5.84866190545517,6.17358756686935,6.49851322828352
"89",89,"2007_C11","CA1579","CA1207",1,26,"2007-05-15",2007,1,"CA1212",26,"2007-05-15","fledged","2007-05-15",0,6.3,17.9,18,17.95,6,17.6,6.22710953321335,5.93058050782224,6.22710953321335
"90",90,"2007_C12","CA081","CA1225",1,22,"2007-05-25",2007,1,"CA1235",22,"2007-05-25","unknown","2007-05-25",0,6.7,17.8,17.7,17.75,6.5,17.5,6.70220115554765,6.5021354494119,6.70220115554765
"91",91,"2007_C13","CA1264","CA1224",4,25,"2007-05-31",2007,1,"CA1409",26,"2007-05-31","fledged","2007-05-31",0,6.2,17.7,17.8,17.75,5.9,16.95,6.63220393619865,6.31129084251161,6.63220393619865
"92",92,"2007_C14","CA216","802109768",3.5,26,"2007-05-28",2007,1,"CA1238",12,"2007-05-28","died","2007-05-28",0,5.9,17.3,17.4,17.35,6.075,17.275,6.06452306059793,6.24440298188685,6.47567716640117
"93",93,"2007_C15","CA132","CA057",1,9,"2007-05-29",2007,1,"CA1247",7.5,"2007-05-29","died","2007-05-29",0,6,17.6,17.7,17.65,6,17.075,6.31998885333828,6.31998885333828,6.31998885333828
"94",94,"2007_C17","CA1217","CA129",7,8,"2007-07-04",2007,1,"CA1392",8,"2007-07-04","unknown","2007-07-04",0,6.8,17,16.9,16.95,6.8,16.95,7.27403012357271,7.27403012357271,7.27403012357271
"95",95,"2007_C303","CA1382","CA1383",11,11,"2007-06-30",2007,1,"CA1380",11,"2007-06-30","unknown","2007-06-30",0,6.2,16.8,16.7,16.75,6.3,16.8,6.75716860748339,6.86615519792667,6.97514178836995
"96",96,"2007_C4","802109760","RX.YX|RX.GX",1,26,"2007-05-07",2007,1,"CA1202",26,"2007-05-07","fledged","2007-05-08",-1,6,18.6,18.6,18.6,5.9,18.45,5.37132499271024,5.2818029094984,5.37132499271024
"97",97,"2007_C6","802109785","CA156",1,23,"2007-05-11",2007,1,"CA1206",26,"2007-05-11","fledged","2007-05-11",0,6.5,18.2,18.2,18.2,6.05,17.325,6.64082603703155,6.18107654216013,6.64082603703155
"98",98,"2007_C7","CA152","CA165",1.5,26,"2007-05-10",2007,1,"CA1205",26,"2007-05-10","fledged","2007-05-10",0,5.7,17.9,18.1,18,5.5,17.575,5.65089467598168,5.45261766980689,5.65089467598168
"99",99,"2007_C8","CA1263","CA029",8,26,"2007-05-30",2007,1,"CA1248",26,"2007-05-30","fledged","2007-05-30",0,5.7,17.5,17.5,17.5,5.7,17.2,5.91272492569912,5.91272492569912,5.91272492569912
"100",100,"2007_D-3","16","13",13,13,"2007-06-29",2007,1,"CA1357",13,"2007-06-29","unknown","2007-07-03",-4,NA,19.5,19.4,NA,NA,NA,NA,NA,NA
"101",101,"2007_D10","CA1258","CA229",6,6,"2007-07-04",2007,1,"CA1359",6,"2007-07-04","died","2007-07-04",0,5.9,17.4,17.5,17.45,6.3,17.525,5.88427164533949,6.28320531620996,6.68213898708043
"102",102,"2007_D102","CA014","CA165",14,14,"2007-06-29",2007,1,"CA1499",26,"2007-06-29","fledged","2007-06-29",0,5.9,18,17.9,17.95,5.93333333333333,17.8666666666667,5.65045142857686,5.6823748829756,5.93776251816552
"103",103,"2007_D103","CA1341","CA1327",4.5,6,"2007-07-04",2007,1,"CA1361",3,"2007-07-04","died","2007-07-04",0,6.3,17.1,17.1,17.1,6.4,17.125,6.5953658162835,6.70005416257371,6.80474250886392
"104",104,"2007_D104","CA1255","CA1329",6,6,"2007-07-06",2007,1,"CA1506",6,"2007-07-06","unknown","2007-07-06",0,6,18.4,18.3,18.35,6.06666666666667,17.3333333333333,6.12380596591545,6.19184825442562,6.42999626421123
"105",105,"2007_D105","CA020","CA068",4,4,"2007-07-04",2007,1,"CA1358",4,"2007-07-04","unknown","2007-07-04",0,6.9,17.8,17.8,17.8,6.375,17.5375,6.87130952374391,6.34849249476339,6.87130952374391
"106",106,"2007_D109","CA060","CA166",3,3,"2007-07-07",2007,1,"CA1370",3,"2007-07-07","unknown","2007-07-07",0,6,16.9,16.8,16.85,6.2,16.85,6.49851322828352,6.71513033589297,6.93174744350242
"107",107,"2007_D2","CA141","RX.YX|RX.sX",2,26,"2007-05-23",2007,1,"CA1228",26,"2007-05-23","fledged","2007-05-23",0,6.3,17.4,17.6,17.5,6.05,17.4,6.37836966953361,6.12525976201244,6.37836966953361
"108",108,"2007_D3","802122910","CA027",1,26,"2007-05-30",2007,1,"CA1249",26,"2007-05-30","fledged","2007-05-30",0,6,17.2,17.4,17.3,5.94,16.75,6.58025470487122,6.51445215782251,6.90926744011478
"109",109,"2007_D4","CA1217","CA180",3.5,26,"2007-05-30",2007,1,"CA1250",26,"2007-05-30","fledged","2007-05-30",0,5.8,17.8,17.9,17.85,5.6,17.35,5.90774369368226,5.70402839390011,6.21331664335548
"110",110,"2007_D6","CA1450","RX.YX|RX.GX",2.5,10,"2007-06-30",2007,1,"CA1352",10,"2007-06-30","died","2007-06-30",0,6,17.8,17.7,17.75,6.05,17.75,5.82582262390846,5.87437114577437,5.92291966764027
